Background,Genotype,Stage,Replicate,O2,Iinc ,Ca,Ci,A,Phi2,VPDleaf,gs,E,Tleaf
YD,G,Stem-elongating,3,21,0.02,400.59,419.02,-0.9,#DIV/0!,1.05,0.0354,0.0006,25.01
YD,G,Stem-elongating,3,21,1999.99,377.74,283.4,26.76,0.2058,1.06,0.3014,0.005,25.07
YD,G,Stem-elongating,3,21,1500.02,377.99,304.94,25.99,0.2817,1,0.3843,0.0061,24.97
YD,G,Stem-elongating,3,21,1000.07,379.56,300.77,24.46,0.3923,0.98,0.3327,0.0052,25.01
YD,G,Stem-elongating,3,21,499.94,385.1,299.44,17.97,0.5543,0.98,0.2237,0.0035,25
YD,G,Stem-elongating,3,21,279.82,390.01,317.56,11.82,0.6286,0.99,0.1768,0.0028,24.95
YD,G,Stem-elongating,3,21,149.96,393.96,344.42,6.83,0.6745,1.01,0.1567,0.0025,25.03
YD,G,Stem-elongating,3,21,100,395.7,360.25,4.62,0.6947,0.99,0.1568,0.0025,24.95
YD,G,Stem-elongating,3,21,79.96,396.48,366.97,3.74,0.7076,0.99,0.1595,0.0025,24.97
YD,G,Stem-elongating,3,21,49.89,397.65,373.56,2.36,0.7209,1.01,0.132,0.0021,25.01
YD,G,Stem-elongating,3,21,999.99,376.88,321.28,26.71,0.4067,0.95,0.5303,0.008,25
YD,G,Stem-elongating,3,21,999.88,234.53,196.93,18.29,0.3678,0.92,0.5307,0.0077,25
YD,G,Stem-elongating,3,21,999.78,141.12,119.99,10.49,0.3148,0.93,0.5459,0.008,24.98
YD,G,Stem-elongating,3,21,1000.01,76.56,68.38,4.03,0.2608,0.92,0.5661,0.0082,25
YD,G,Stem-elongating,3,21,999.95,49.18,46.86,0.94,0.2332,0.93,0.5819,0.0085,25
YD,G,Stem-elongating,3,21,999.94,380.28,330.93,22.5,0.3498,0.94,0.5104,0.0075,25.01
YD,G,Stem-elongating,3,21,999.91,378.47,315.07,25.3,0.3905,0.94,0.4342,0.0064,24.95
YD,G,Stem-elongating,3,21,999.9,378.13,313.05,25.71,0.4018,0.95,0.4293,0.0064,24.98
YD,G,Stem-elongating,3,21,1000.12,624.03,542.63,29.46,0.3936,0.97,0.4065,0.0062,25.01
YD,G,Stem-elongating,3,21,1000.07,974.49,886.61,27.01,0.3541,0.97,0.3672,0.0057,25.02
YD,G,Stem-elongating,3,21,1000,1473.74,1374.75,25.73,0.3288,0.98,0.3352,0.0052,24.99
YD,G,Stem-elongating,3,2,280.09,985.65,812.94,16.51,0.5757,1.04,0.1047,0.0017,25
YD,G,Stem-elongating,3,2,149.95,991.91,857.4,9.05,0.6096,1.03,0.0759,0.0013,24.99
YD,G,Stem-elongating,3,2,100.02,994.4,881.68,6.03,0.6319,1.05,0.0622,0.001,25
YD,G,Stem-elongating,3,2,79.95,995.57,899.93,4.61,0.6437,1.04,0.0578,0.001,25.01
YD,G,Stem-elongating,3,2,49.89,997.14,928.31,2.69,0.6661,1.05,0.0511,0.0009,25.03
YD,G,Stem-elongating,4,21,0.02,400.3,405.81,-0.66,#DIV/0!,1.05,0.0539,0.0009,25.02
YD,G,Stem-elongating,4,21,1999.92,377.98,309.84,26.3,0.2162,1.13,0.4246,0.0076,26.82
YD,G,Stem-elongating,4,21,1499.84,379.13,311.3,25.1,0.2809,1.08,0.4056,0.007,26.49
YD,G,Stem-elongating,4,21,1000.01,381.21,314.06,22.64,0.3736,1.05,0.369,0.0062,26.15
YD,G,Stem-elongating,4,21,500.15,385.73,325.29,17.04,0.5175,1.01,0.3115,0.005,25.74
YD,G,Stem-elongating,4,21,279.95,390.31,341.32,11.3,0.5969,1,0.2617,0.0042,25.5
YD,G,Stem-elongating,4,21,150.05,394.18,358.74,6.45,0.6441,0.99,0.2188,0.0035,25.31
YD,G,Stem-elongating,4,21,99.82,395.87,367.33,4.35,0.6665,0.99,0.1936,0.0031,25.25
YD,G,Stem-elongating,4,21,80.02,396.6,370.84,3.49,0.6789,1,0.1777,0.0028,25.21
YD,G,Stem-elongating,4,21,49.97,397.49,377.83,2.33,0.6937,0.99,0.1727,0.0027,25.12
YD,G,Stem-elongating,4,21,999.96,381.85,310.37,22.03,0.3765,1.06,0.3356,0.0056,25.73
YD,G,Stem-elongating,4,21,1000.13,238.27,191.21,14.39,0.3342,1.05,0.3309,0.0055,25.81
YD,G,Stem-elongating,4,21,1000.06,143.25,118.48,8.25,0.2901,1.04,0.3649,0.0061,25.81
YD,G,Stem-elongating,4,21,1000.02,77.35,68.05,3.26,0.2451,1.03,0.4022,0.0066,25.75
YD,G,Stem-elongating,4,21,999.98,49.36,46.73,0.79,0.2194,1.03,0.4252,0.0069,25.74
YD,G,Stem-elongating,4,21,999.96,382.44,320.63,20.91,0.3492,1.05,0.3735,0.0062,25.76
YD,G,Stem-elongating,4,21,999.91,381.79,308.43,22.11,0.3661,1.04,0.327,0.0054,25.87
YD,G,Stem-elongating,4,21,999.88,381.8,308.91,22.13,0.3729,1.04,0.3294,0.0054,25.87
YD,G,Stem-elongating,4,21,999.89,626.88,527.64,27.37,0.3921,1.06,0.3058,0.0051,25.91
YD,G,Stem-elongating,4,21,999.89,975.56,864.25,27.4,0.3718,1.06,0.286,0.0048,25.93
YD,G,Stem-elongating,4,21,1000.11,1474.5,1348.82,26.69,0.3516,1.07,0.2625,0.0045,25.97
YD,G,Stem-elongating,4,2,279.98,986.82,879.77,14.74,0.5389,1.02,0.1605,0.0026,25.42
YD,G,Stem-elongating,4,2,150.02,992.1,916.95,8.23,0.5781,1.01,0.1379,0.0022,25.3
YD,G,Stem-elongating,4,2,100.08,994.39,935.42,5.28,0.6053,1.02,0.1221,0.002,25.26
YD,G,Stem-elongating,4,2,80,995.05,938.42,4.57,0.6215,1.02,0.1121,0.0018,25.26
YD,G,Stem-elongating,4,2,50.25,996.66,952.52,2.72,0.6431,1.03,0.0968,0.0016,25.26
WYJ,C,Stem-elongating,1,21,0.02,400.17,404.23,-0.24,#DIV/0!,1.06,0.0217,0.0004,25
WYJ,C,Stem-elongating,1,21,1999.86,378.52,295.34,24.48,0.1928,1.07,0.316,0.0053,25
WYJ,C,Stem-elongating,1,21,1500.02,380.13,297.62,22.64,0.24,1.05,0.2946,0.0049,25.02
WYJ,C,Stem-elongating,1,21,1000.09,382.85,306.73,19.45,0.3048,1.03,0.276,0.0045,25
WYJ,C,Stem-elongating,1,21,499.93,388.54,330.52,12.65,0.3818,1.02,0.2422,0.0039,25
WYJ,C,Stem-elongating,1,21,280.06,392.56,345.93,8.03,0.4315,1.02,0.1975,0.0032,24.98
WYJ,C,Stem-elongating,1,21,150.11,395.8,357.59,4.35,0.4672,1.03,0.1358,0.0022,24.99
WYJ,C,Stem-elongating,1,21,99.99,397.41,356.13,2.78,0.4892,1.05,0.0795,0.0013,25.01
WYJ,C,Stem-elongating,1,21,79.95,398.29,353.11,1.89,0.5047,1.05,0.0486,0.0008,25
WYJ,C,Stem-elongating,1,21,49.92,399.17,363.96,0.99,0.5209,1.06,0.0345,0.0006,25.01
WYJ,C,Stem-elongating,1,21,1000.01,381.82,302.91,20.63,0.342,1.08,0.2825,0.0048,25.01
WYJ,C,Stem-elongating,1,21,999.9,237.52,184.27,14.37,0.3179,1.06,0.289,0.0048,25
WYJ,C,Stem-elongating,1,21,1000.05,142.81,113.2,8.33,0.2789,1.05,0.3033,0.0051,25
WYJ,C,Stem-elongating,1,21,999.99,77.26,65.89,3.24,0.2293,1.05,0.3187,0.0053,24.99
WYJ,C,Stem-elongating,1,21,999.99,49.32,46.21,0.79,0.2009,1.05,0.3382,0.0056,24.99
WYJ,C,Stem-elongating,1,21,999.92,382.76,318.64,19.21,0.2902,1.05,0.3294,0.0055,25
WYJ,C,Stem-elongating,1,21,999.91,382.11,307,20.27,0.3141,1.04,0.2919,0.0048,25.01
WYJ,C,Stem-elongating,1,21,999.91,381.75,302.54,20.82,0.3286,1.04,0.283,0.0047,25
WYJ,C,Stem-elongating,1,21,999.88,628.13,529.98,24.03,0.3234,1.05,0.2716,0.0045,25
WYJ,C,Stem-elongating,1,21,1000.11,976.8,865.77,24.34,0.2971,1.06,0.2546,0.0043,25
WYJ,C,Stem-elongating,1,21,999.83,1475.65,1352.97,23.74,0.281,1.06,0.2399,0.004,25
WYJ,C,Stem-elongating,1,2,280.08,988.99,882.98,11.37,0.4207,1.05,0.1259,0.0021,25
WYJ,C,Stem-elongating,1,2,150.09,994,892.36,6.06,0.447,1.07,0.0709,0.0012,25.01
WYJ,C,Stem-elongating,1,2,99.98,996.17,879.44,3.92,0.4632,1.06,0.0388,0.0007,25
WYJ,C,Stem-elongating,1,2,80.19,997.09,890.77,2.98,0.4759,1.06,0.033,0.0006,25.01
WYJ,C,Stem-elongating,1,2,50.17,998.25,924.7,1.65,0.5011,1.06,0.0289,0.0005,24.99
WYJ,C,Stem-elongating,2,21,0.02,400.41,413.18,-0.54,#DIV/0!,1.06,0.0272,0.0005,25.01
WYJ,C,Stem-elongating,2,21,2000.05,379.3,303.6,23.65,0.1709,1.05,0.3378,0.0056,25.01
WYJ,C,Stem-elongating,2,21,1499.8,380.72,304.78,22.09,0.2117,1.03,0.3139,0.0051,25
WYJ,C,Stem-elongating,2,21,1000.02,383.37,310.66,18.97,0.2754,1.02,0.2828,0.0046,24.99
WYJ,C,Stem-elongating,2,21,500.03,388.58,329.27,12.81,0.359,1.01,0.2393,0.0038,25
WYJ,C,Stem-elongating,2,21,280,392.43,344.12,8.3,0.4159,1.02,0.1962,0.0032,25.01
WYJ,C,Stem-elongating,2,21,149.98,395.58,359.07,4.64,0.4575,1.03,0.153,0.0025,25.01
WYJ,C,Stem-elongating,2,21,100.05,397.07,364.09,3.01,0.4852,1.04,0.1129,0.0019,25
WYJ,C,Stem-elongating,2,21,80.01,397.92,364.18,2.14,0.5033,1.05,0.0783,0.0013,24.99
WYJ,C,Stem-elongating,2,21,49.98,398.77,367.6,1.3,0.5234,1.05,0.0527,0.0009,25
WYJ,C,Stem-elongating,2,21,999.91,382.99,304.97,19.5,0.3025,1.04,0.2695,0.0044,25
WYJ,C,Stem-elongating,2,21,1000.13,238.39,184.79,13.52,0.2804,1.04,0.2699,0.0045,25
WYJ,C,Stem-elongating,2,21,999.83,143.23,113.66,7.94,0.2498,1.03,0.2889,0.0047,24.99
WYJ,C,Stem-elongating,2,21,1000.07,77.38,66.57,3.06,0.213,1.02,0.318,0.0052,24.98
WYJ,C,Stem-elongating,2,21,1000.04,49.36,46.37,0.8,0.1903,1.02,0.3602,0.0058,24.99
WYJ,C,Stem-elongating,2,21,1000.02,382.98,324.61,19.02,0.2691,1.02,0.3611,0.0058,25.02
WYJ,C,Stem-elongating,2,21,999.75,382.37,314.16,19.98,0.2892,1.01,0.3191,0.0051,25.01
WYJ,C,Stem-elongating,2,21,1000.01,382.38,309.2,20.14,0.3009,1.02,0.298,0.0048,25
WYJ,C,Stem-elongating,2,21,1000.01,628.7,535.93,23.5,0.295,1.03,0.2821,0.0046,24.99
WYJ,C,Stem-elongating,2,21,1000.02,976.87,868.11,24.4,0.2781,1.04,0.2607,0.0043,25.02
WYJ,C,Stem-elongating,2,21,1000,1475.14,1351.4,24.55,0.2679,1.04,0.2443,0.004,25.01
WYJ,C,Stem-elongating,2,2,280,989.59,721.44,11.93,0.4665,1.06,0.047,0.0008,25.01
WYJ,C,Stem-elongating,2,2,150.01,994.52,758.26,6.16,0.4938,1.06,0.0278,0.0005,25.01
WYJ,C,Stem-elongating,2,2,99.87,995.87,826.38,4.49,0.5342,1.06,0.0292,0.0005,25.01
WYJ,C,Stem-elongating,2,2,80.06,996.81,840.51,3.48,0.5452,1.06,0.0247,0.0004,25
WYJ,C,Stem-elongating,2,2,49.78,997.9,894.71,2.09,0.5817,1.06,0.024,0.0004,24.99
WYJ,C,Stem-elongating,3,21,0.02,400.59,419.23,-0.72,#DIV/0!,1.01,0.0283,0.0005,24.99
WYJ,C,Stem-elongating,3,21,1999.93,375.84,290.95,26.55,0.2016,1.05,0.3347,0.0056,25.01
WYJ,C,Stem-elongating,3,21,1500.13,376.26,292.13,26.14,0.2693,1.03,0.3322,0.0054,25.01
WYJ,C,Stem-elongating,3,21,1000.22,377.24,295.68,25.05,0.3769,0.99,0.3285,0.0052,25.01
WYJ,C,Stem-elongating,3,21,500.18,382.41,296.94,19.46,0.5447,0.99,0.2429,0.0038,25.01
WYJ,C,Stem-elongating,3,21,279.92,388.47,303.52,12.77,0.6256,1.01,0.1609,0.0026,25.01
WYJ,C,Stem-elongating,3,21,150.04,393.68,311.18,7.03,0.6625,1.04,0.0917,0.0015,25.01
WYJ,C,Stem-elongating,3,21,99.96,395.81,316.38,4.66,0.6791,1.04,0.0634,0.0011,24.99
WYJ,C,Stem-elongating,3,21,79.92,396.48,343.17,3.77,0.6903,1.04,0.0799,0.0013,24.98
WYJ,C,Stem-elongating,3,21,49.93,397.61,357.84,2.43,0.7022,1.04,0.0727,0.0012,25.01
WYJ,C,Stem-elongating,3,21,999.88,376.06,307.7,25.96,0.3896,0.98,0.4117,0.0064,25
WYJ,C,Stem-elongating,3,21,999.79,234.66,190.46,16.8,0.3387,0.98,0.4106,0.0063,25
WYJ,C,Stem-elongating,3,21,1000,141.45,117.51,9.37,0.2811,0.98,0.4272,0.0066,24.99
WYJ,C,Stem-elongating,3,21,999.94,76.74,67.58,3.62,0.2308,0.97,0.4499,0.0069,24.99
WYJ,C,Stem-elongating,3,21,999.91,49.23,46.71,0.84,0.1965,0.97,0.4683,0.0072,24.99
WYJ,C,Stem-elongating,3,21,999.88,380.02,318.62,21.35,0.3193,1,0.3821,0.006,25.05
WYJ,C,Stem-elongating,3,21,999.87,378.32,298.85,23.74,0.3568,1.01,0.3206,0.0051,25.01
WYJ,C,Stem-elongating,3,21,999.86,378.32,294.14,23.89,0.3658,1,0.3031,0.0048,24.99
WYJ,C,Stem-elongating,3,21,1000.12,623.02,514.66,28.92,0.3749,1.02,0.2917,0.0047,25.01
WYJ,C,Stem-elongating,3,21,1000.1,972.27,845.75,28.56,0.3502,1.02,0.2556,0.0042,25.02
WYJ,C,Stem-elongating,3,21,1000.07,1472.16,1322.38,27.22,0.3286,1.03,0.2145,0.0035,25.02
WYJ,C,Stem-elongating,3,2,279.94,983.89,787.81,17.38,0.5635,1.04,0.0958,0.0016,24.99
WYJ,C,Stem-elongating,3,2,150.03,991.39,782.51,9.22,0.5902,1.04,0.0475,0.0008,24.99
WYJ,C,Stem-elongating,3,2,99.95,993.85,838.81,6.39,0.6175,1.05,0.0458,0.0008,24.99
WYJ,C,Stem-elongating,3,2,79.89,994.78,869.43,5.33,0.6356,1.05,0.0486,0.0008,25
WYJ,C,Stem-elongating,3,2,49.95,996.59,907,3.18,0.6564,1.05,0.0433,0.0007,25.01
WYJ,C,Stem-elongating,4,21,0.02,400.28,408.98,-0.4,#DIV/0!,1.05,0.0259,0.0004,25
WYJ,C,Stem-elongating,4,21,2000.21,377.01,295.93,26.15,0.204,1.05,0.3465,0.0058,24.99
WYJ,C,Stem-elongating,4,21,1500.02,376.54,300.82,26.68,0.2653,1.01,0.3796,0.0061,24.99
WYJ,C,Stem-elongating,4,21,1000.11,377.54,304.91,25.47,0.3685,0.98,0.3786,0.0059,25
WYJ,C,Stem-elongating,4,21,499.86,382.31,319.16,19.85,0.5242,0.97,0.3439,0.0053,25.02
WYJ,C,Stem-elongating,4,21,280.16,387.96,337.46,13.11,0.5987,0.97,0.2923,0.0046,25.01
WYJ,C,Stem-elongating,4,21,149.91,392.73,354.64,7.6,0.6449,0.99,0.2366,0.0038,25.02
WYJ,C,Stem-elongating,4,21,100.12,395.04,359.23,5.16,0.6681,1.01,0.174,0.0028,25.01
WYJ,C,Stem-elongating,4,21,79.84,396.28,357.02,3.94,0.6806,1.04,0.1195,0.002,25.01
WYJ,C,Stem-elongating,4,21,50.14,397.84,361.44,2.26,0.6957,1.04,0.0754,0.0013,25.01
WYJ,C,Stem-elongating,4,21,1000.13,376.64,312.75,26.08,0.3792,1,0.4467,0.0071,25.02
WYJ,C,Stem-elongating,4,21,999.93,234.78,192.99,17.21,0.3347,0.97,0.4472,0.0069,25
WYJ,C,Stem-elongating,4,21,1000.07,141.4,118.32,9.78,0.2831,0.97,0.4643,0.0072,25
WYJ,C,Stem-elongating,4,21,999.97,76.69,67.72,3.77,0.2327,0.97,0.4791,0.0074,25.01
WYJ,C,Stem-elongating,4,21,1000.16,49.14,46.53,0.93,0.2076,0.97,0.4956,0.0076,24.99
WYJ,C,Stem-elongating,4,21,1000.08,378.83,320.64,23.51,0.3354,0.98,0.446,0.007,25.03
WYJ,C,Stem-elongating,4,21,1000.07,376.92,309.3,26.02,0.3667,0.98,0.4179,0.0065,25
WYJ,C,Stem-elongating,4,21,1000.03,376.77,307.7,26.29,0.3754,0.98,0.4125,0.0064,24.99
WYJ,C,Stem-elongating,4,21,999.97,622.16,533.81,30.39,0.3758,0.99,0.3838,0.0061,25.02
WYJ,C,Stem-elongating,4,21,999.98,971.14,876.19,29.62,0.3496,0.99,0.3688,0.0058,25.01
WYJ,C,Stem-elongating,4,21,999.94,1469.81,1363.5,28.73,0.3317,1,0.3434,0.0055,25.01
WYJ,C,Stem-elongating,4,2,279.95,984.66,831.34,16.76,0.546,1.03,0.1212,0.002,25
WYJ,C,Stem-elongating,4,2,149.93,991.69,848.76,8.89,0.5799,1.04,0.0697,0.0012,25.02
WYJ,C,Stem-elongating,4,2,99.87,994.62,858.87,5.68,0.5934,1.05,0.0473,0.0008,24.99
WYJ,C,Stem-elongating,4,2,79.87,995.49,854.2,4.74,0.6191,1.05,0.0378,0.0006,25.01
WYJ,C,Stem-elongating,4,2,49.92,997.16,905.6,2.79,0.6515,1.05,0.037,0.0006,25.01
WYJ,G,Stem-elongating,1,21,0.02,400.55,421.06,-0.62,#DIV/0!,1.05,0.0224,0.0004,24.99
WYJ,G,Stem-elongating,1,21,1999.97,380.82,294.84,22.96,0.2168,1.07,0.2864,0.0049,24.99
WYJ,G,Stem-elongating,1,21,1500.08,381.6,287.72,22.15,0.2885,1.06,0.2512,0.0043,25
WYJ,G,Stem-elongating,1,21,1000.04,382.95,286.9,20.61,0.3887,1.04,0.228,0.0038,25.04
WYJ,G,Stem-elongating,1,21,500,386.92,285.92,15.88,0.5303,1.02,0.1663,0.0027,24.99
WYJ,G,Stem-elongating,1,21,280.04,391.74,286.59,10.13,0.6061,1.03,0.1018,0.0017,25.01
WYJ,G,Stem-elongating,1,21,149.8,396.4,280.98,4.56,0.6412,1.05,0.0416,0.0007,24.98
WYJ,G,Stem-elongating,1,21,100.2,397.63,300.46,3,0.6618,1.06,0.0329,0.0006,25
WYJ,G,Stem-elongating,1,21,79.87,397.65,320.27,2.89,0.6791,1.05,0.0406,0.0007,25
WYJ,G,Stem-elongating,1,21,49.86,398.37,345.19,1.96,0.6984,1.05,0.0419,0.0007,24.99
WYJ,G,Stem-elongating,1,21,999.96,382.99,293.76,20.45,0.3831,1.04,0.2448,0.0041,25
WYJ,G,Stem-elongating,1,21,1000.16,238.93,181.11,13.46,0.3544,1.04,0.2479,0.0041,25.01
WYJ,G,Stem-elongating,1,21,999.76,143.76,112.44,7.61,0.315,1.03,0.2607,0.0043,25
WYJ,G,Stem-elongating,1,21,999.99,77.75,66.62,2.83,0.2681,1.03,0.2843,0.0047,24.99
WYJ,G,Stem-elongating,1,21,1000.19,49.47,46.31,0.72,0.2351,1.02,0.3015,0.005,25
WYJ,G,Stem-elongating,1,21,1000.13,386.57,277.14,16.44,0.3377,1.08,0.1587,0.0028,25.06
WYJ,G,Stem-elongating,1,21,1000.11,387.03,268.21,15.86,0.3512,1.07,0.1402,0.0024,24.98
WYJ,G,Stem-elongating,1,21,1000.1,387.27,262.94,15.68,0.3607,1.08,0.1321,0.0023,24.99
WYJ,G,Stem-elongating,1,21,999.79,632.95,462.89,20.61,0.3653,1.08,0.1284,0.0022,25
WYJ,G,Stem-elongating,1,21,1000.05,981.8,766.19,21.5,0.3299,1.08,0.1074,0.0019,25
WYJ,G,Stem-elongating,1,21,999.81,1482.46,1225.05,19.88,0.3013,1.09,0.0852,0.0015,24.99
WYJ,G,Stem-elongating,1,2,279.98,990.08,666.32,11.98,0.4855,1.07,0.0387,0.0007,24.99
WYJ,G,Stem-elongating,1,2,150.02,994.94,738.64,5.98,0.5113,1.07,0.0248,0.0004,24.98
WYJ,G,Stem-elongating,1,2,99.91,996.05,748.68,4.65,0.5708,1.07,0.02,0.0003,24.99
WYJ,G,Stem-elongating,1,2,80.09,997.19,824.61,3.14,0.5668,1.07,0.0201,0.0003,25
WYJ,G,Stem-elongating,1,2,50.08,998.12,869.61,2.04,0.6068,1.07,0.0182,0.0003,24.99
WYJ,G,Stem-elongating,2,21,0.02,400.41,414.77,-0.53,#DIV/0!,1.04,0.0248,0.0004,24.99
WYJ,G,Stem-elongating,2,21,2000.22,377.79,287.33,26.4,0.2694,1.04,0.311,0.0052,24.98
WYJ,G,Stem-elongating,2,21,1500.13,378.44,288.02,25.61,0.3404,1.03,0.3016,0.005,24.98
WYJ,G,Stem-elongating,2,21,1000.03,380.08,289.59,23.74,0.4382,1.01,0.2791,0.0045,25
WYJ,G,Stem-elongating,2,21,500.05,384.83,299.07,17.98,0.57,1.01,0.2241,0.0036,25.01
WYJ,G,Stem-elongating,2,21,279.97,389.88,308.01,11.95,0.6409,1.02,0.1569,0.0026,25
WYJ,G,Stem-elongating,2,21,150.02,394.65,315.38,6.42,0.6772,1.04,0.0876,0.0015,24.99
WYJ,G,Stem-elongating,2,21,100.12,396.48,308.06,4.32,0.6959,1.05,0.0524,0.0009,25
WYJ,G,Stem-elongating,2,21,80.06,396.97,332.77,3.56,0.7101,1.04,0.0613,0.001,24.97
WYJ,G,Stem-elongating,2,21,50.04,397.93,356.98,2.31,0.7271,1.05,0.067,0.0011,25.01
WYJ,G,Stem-elongating,2,21,1000.08,379.71,300.12,23.93,0.4374,1.02,0.3233,0.0053,24.99
WYJ,G,Stem-elongating,2,21,999.96,236.77,186.18,15.75,0.4043,1.01,0.334,0.0054,24.97
WYJ,G,Stem-elongating,2,21,1000.16,142.53,114.98,8.88,0.3603,1.01,0.3489,0.0057,24.99
WYJ,G,Stem-elongating,2,21,1000.15,77.29,67.03,3.31,0.3056,1.01,0.3639,0.0059,25.01
WYJ,G,Stem-elongating,2,21,999.8,49.36,46.53,0.76,0.2747,1.01,0.3711,0.006,24.99
WYJ,G,Stem-elongating,2,21,1000.03,382.29,307.96,20.69,0.3973,1.03,0.3016,0.005,25.01
WYJ,G,Stem-elongating,2,21,1000.04,382.09,286.15,21.42,0.4076,1.04,0.237,0.004,24.97
WYJ,G,Stem-elongating,2,21,1000.02,382.14,279.66,21.39,0.4191,1.04,0.2207,0.0037,24.99
WYJ,G,Stem-elongating,2,21,1000.04,627.68,487.43,26.31,0.4251,1.05,0.2012,0.0034,25
WYJ,G,Stem-elongating,2,21,1000.01,977.13,817.29,25.9,0.3935,1.06,0.1792,0.0031,25
WYJ,G,Stem-elongating,2,21,1000,1476.94,1293.54,24.89,0.3664,1.06,0.1558,0.0027,25.01
WYJ,G,Stem-elongating,2,2,279.99,988.48,801.32,13.34,0.535,1.04,0.0776,0.0013,24.99
WYJ,G,Stem-elongating,2,2,150.23,992.53,848.64,8.25,0.5947,1.05,0.0643,0.0011,25
WYJ,G,Stem-elongating,2,2,100.09,994.69,854.91,5.77,0.6252,1.05,0.0465,0.0008,24.99
WYJ,G,Stem-elongating,2,2,80.02,995.52,881.31,4.69,0.6475,1.05,0.0476,0.0008,25
WYJ,G,Stem-elongating,2,2,50.01,997.1,923.68,2.62,0.6735,1.05,0.046,0.0008,25
WYJ,G,Stem-elongating,3,21,0.02,400.48,423.15,-0.66,#DIV/0!,1.06,0.0221,0.0004,25.01
WYJ,G,Stem-elongating,3,21,2000.08,375.82,304.78,27.57,0.2116,1.02,0.4211,0.0069,25
WYJ,G,Stem-elongating,3,21,1499.96,376.35,312.81,26.71,0.2859,0.99,0.4598,0.0073,24.99
WYJ,G,Stem-elongating,3,21,1000.03,377.97,318.88,24.73,0.3908,0.96,0.4601,0.007,25.01
WYJ,G,Stem-elongating,3,21,500.12,382.83,334.18,18.84,0.5403,0.94,0.4357,0.0066,25.01
WYJ,G,Stem-elongating,3,21,279.88,387.73,350.65,12.92,0.6211,0.94,0.4096,0.0062,25.01
WYJ,G,Stem-elongating,3,21,149.84,392.12,365.81,7.68,0.6666,0.95,0.3733,0.0056,24.99
WYJ,G,Stem-elongating,3,21,99.96,394.43,373.42,5.05,0.6884,0.95,0.3337,0.0051,25.01
WYJ,G,Stem-elongating,3,21,80.17,395.25,375.49,4.2,0.7013,0.96,0.304,0.0047,25.02
WYJ,G,Stem-elongating,3,21,50.15,396.73,381.8,2.46,0.7155,0.97,0.2779,0.0043,25.01
WYJ,G,Stem-elongating,3,21,1000.01,378.47,315.37,24.32,0.3953,0.98,0.4216,0.0066,24.99
WYJ,G,Stem-elongating,3,21,999.89,234.68,191.1,17.61,0.3798,0.97,0.4372,0.0068,24.99
WYJ,G,Stem-elongating,3,21,999.81,141.44,117.28,9.86,0.331,0.97,0.445,0.0069,25
WYJ,G,Stem-elongating,3,21,1000.03,76.93,67.91,3.57,0.2621,0.97,0.4522,0.007,25
WYJ,G,Stem-elongating,3,21,1000,49.3,46.72,0.84,0.2245,0.97,0.4574,0.0071,25
WYJ,G,Stem-elongating,3,21,999.95,380.8,309.24,21.99,0.3547,1,0.333,0.0053,25.02
WYJ,G,Stem-elongating,3,21,999.93,379.43,306.71,23.55,0.3808,0.99,0.35,0.0055,24.98
WYJ,G,Stem-elongating,3,21,999.9,379.21,306.72,23.8,0.3895,0.99,0.3548,0.0056,25.01
WYJ,G,Stem-elongating,3,21,999.87,627.17,541.66,25.08,0.3484,1,0.3293,0.0053,25.01
WYJ,G,Stem-elongating,3,21,999.86,977.6,888.14,22.82,0.2938,1.01,0.3068,0.005,25.01
WYJ,G,Stem-elongating,3,21,999.83,1476.56,1378.4,21.89,0.2671,1,0.2907,0.0047,24.99
WYJ,G,Stem-elongating,3,2,279.87,986.27,898.67,13.83,0.5019,1,0.1908,0.0031,25.01
WYJ,G,Stem-elongating,3,2,150.1,990.97,917.56,8.65,0.5591,1.01,0.1495,0.0024,25.01
WYJ,G,Stem-elongating,3,2,99.95,993.52,931.48,5.82,0.5926,1.01,0.1257,0.0021,25
WYJ,G,Stem-elongating,3,2,80.14,994.65,937.2,4.69,0.6144,1.01,0.1126,0.0018,24.97
WYJ,G,Stem-elongating,3,2,50.11,996.51,947.22,2.83,0.6393,1.02,0.0853,0.0014,25
WYJ,G,Stem-elongating,4,21,0.02,400.5,429.28,-0.64,#DIV/0!,1.07,0.0179,0.0003,24.99
WYJ,G,Stem-elongating,4,21,2000.01,375.41,296.11,26.96,0.2222,1.07,0.3666,0.0063,25.09
WYJ,G,Stem-elongating,4,21,1500.05,377.21,293.3,25.17,0.2822,1.04,0.3214,0.0054,24.98
WYJ,G,Stem-elongating,4,21,999.96,378.52,307.5,23.47,0.3719,1.01,0.3583,0.0058,25
WYJ,G,Stem-elongating,4,21,500.03,384.74,328.53,16.3,0.4819,0.99,0.3227,0.0051,25
WYJ,G,Stem-elongating,4,21,280.12,389.91,343.05,10.51,0.5422,1.01,0.2566,0.0041,25
WYJ,G,Stem-elongating,4,21,150.13,394.08,353.59,5.98,0.5848,1.03,0.1741,0.0029,25.01
WYJ,G,Stem-elongating,4,21,99.96,396.36,350.51,3.84,0.6115,1.03,0.0969,0.0016,25
WYJ,G,Stem-elongating,4,21,79.9,397.18,350.25,2.99,0.627,1.04,0.0736,0.0012,24.99
WYJ,G,Stem-elongating,4,21,50.17,398.06,363.52,2.02,0.6466,1.03,0.0717,0.0012,25.01
