location,plot,treeID,canopy,rep,leaf,test,species,E,A,Ca,Ci,Pci,Pca,gsw,TleafEB,RHcham,Qin,Qabs,S,CO2_s,CO2_r,H2O_s,H2O_r,Flow,date_licor,date_collected,DBH,Height,Size_Class,concat
AK,1,A,high,1,1,kok,pigl,0.000365769,-1.275231881,400.9910011,466.4223337,43.25129776,37.18385663,0.027422929,24.27149022,59.93006283,54.9956,46.36039108,4.178,400.991,400.048,19.7221,19.4225,500.014,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.00033158,-1.475755074,401.1400012,486.3916129,45.10298711,37.19762394,0.02503429,24.22823235,60.14914001,50.0148,42.1603464,4.178,401.14,400.018,19.7383,19.4667,499.999,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000328554,-1.602762896,401.2370014,495.2189233,45.92213558,37.20709995,0.024876872,24.20251982,60.18703209,45.0052,37.93725403,4.178,401.237,400.008,19.7248,19.4557,500.046,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000321333,-1.721924411,401.4020015,505.3592452,46.8626552,37.22255756,0.024353445,24.19062753,60.19229817,40.0396,33.75206302,4.178,401.402,400.071,19.7158,19.4526,500.023,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000329841,-1.95147118,401.4960016,516.8929143,47.93209929,37.23120531,0.025056605,24.1456034,60.14046751,35.0608,29.55484498,4.178,401.496,399.976,19.6539,19.3837,499.997,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.00032445,-2.151522779,401.6570018,531.7540317,49.30974263,37.24579825,0.024694545,24.12284442,60.15419446,30.1061,25.3779127,4.178,401.657,399.968,19.6357,19.3699,499.976,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000313716,-2.211953563,401.7900019,540.3168009,50.10454379,37.25870584,0.023931912,24.10021814,60.19117097,25.1236,21.17733474,4.178,401.79,400.047,19.6232,19.3662,499.995,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000297348,-2.358567915,401.911002,558.1703878,51.76075702,37.27037151,0.022770619,24.06037629,60.25898806,20.1879,17.01663009,4.178,401.911,400.04,19.5988,19.3552,499.989,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000303164,-2.560632356,402.0460022,569.1977837,52.78185164,37.28182549,0.023186397,24.03170091,60.11113057,15.1718,12.78781736,4.178,402.046,400.008,19.525,19.2766,499.955,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000371497,-0.461046197,400.2900004,418.3810445,38.79789328,37.1202494,0.027445498,24.54713843,60.13303374,89.9885,75.8591656,4.178,400.29,400.029,20.079,19.7748,499.983,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000352571,-0.75630586,400.4660006,437.8552109,40.60354452,37.13633795,0.02614848,24.51676608,60.21408378,80.0553,67.48436796,4.178,400.466,399.952,20.0753,19.7866,499.989,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000353681,-0.75680485,400.5640006,437.7102919,40.58979937,37.14514537,0.026322011,24.49400351,60.27689317,75.1427,63.34397626,4.178,400.564,400.05,20.075,19.7854,500.005,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000353501,-0.970968045,400.6880008,450.6455512,41.78878467,37.15617416,0.026388042,24.4116191,60.17763441,70.1906,59.169206,4.178,400.688,399.995,19.9492,19.6597,499.988,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000337875,-1.067699823,400.7840009,459.1504496,42.57693993,37.16462947,0.025388192,24.34898175,60.29637636,64.9255,54.73150676,4.178,400.784,400.005,19.9152,19.6385,500.011,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.00033031,-1.20595555,400.863001,469.2203463,43.51093273,37.17213716,0.024962007,24.29819119,60.39471473,59.9861,50.56741257,4.178,400.863,399.966,19.8903,19.6198,500.031,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.00029135,-2.647091227,402.1710022,582.7050965,54.03327974,37.29265181,0.022266876,24.03163935,60.08826672,9.95682,8.392248535,4.178,402.171,400.057,19.5202,19.2815,500,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000283041,-2.848325698,402.3400024,602.8302606,55.89915416,37.30812351,0.021669836,24.0225443,60.13413014,4.91579,4.14275224,4.178,402.34,400.055,19.5277,19.2958,499.979,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000403107,3.475924511,396.963997,143.5953498,13.31608405,36.81181846,0.022719699,26.68359916,59.63019991,1800.02,1517.415,4.178,396.964,400.002,20.53,20.2001,500.032,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000258461,3.553306415,396.975997,15.77808087,1.463132363,36.81236223,0.015174577,26.44591729,60.18846499,1499.98,1264.4817,4.178,396.976,400.031,20.7371,20.5256,499.98,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000323719,3.39076335,397.0279971,117.4457964,10.89096395,36.81713385,0.019944156,26.1279655,60.40857966,1200.22,1011.7845,4.178,397.028,399.969,20.794,20.5291,499.952,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000449395,3.354605015,397.0359971,201.2901854,18.66598511,36.81783092,0.02864851,25.87986934,60.35194016,999.958,842.9638142,4.178,397.036,399.988,20.7436,20.3759,500.034,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000351078,3.212628818,397.2149973,164.9446933,15.29538164,36.83389172,0.022892819,25.66734724,60.27591487,799.822,674.2492862,4.178,397.215,400.016,20.6603,20.373,500,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000396404,2.439390377,397.9229979,249.1429253,23.10385684,36.90073065,0.027734119,25.14665854,60.44934729,399.886,337.1027582,4.178,397.923,400.093,20.5621,20.2377,500.037,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000486988,0.923518207,399.0509992,348.8332258,32.34811014,37.00492017,0.035424308,24.81651866,60.34247554,200.216,168.7802582,4.178,399.051,399.985,20.3837,19.9851,500.041,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000363157,0.577773753,399.4899995,356.0916391,33.02097379,37.0453764,0.026469973,24.72090569,60.24799309,150.178,126.5980142,4.178,399.49,400.094,20.2556,19.9583,500.012,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,1,1,kok,pigl,0.000347503,-0.318562615,400.1460003,411.2273219,38.13507609,37.10745214,0.025745663,24.60126357,60.45690628,99.844,84.16774225,4.178,400.146,399.996,20.2335,19.949,499.997,18/07/2017,19/07/2017,20.6,7.84,large,2017-07-19_AK_1_A_1_1_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000573847,5.401243894,392.3799926,133.0697302,12.3457574,36.40368241,0.034444097,25.72667899,59.54029173,1800.03,1517.424,6.768,392.38,399.996,19.3993,18.6376,499.994,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.00054706,5.397835233,392.3919926,133.1123614,12.34960848,36.40448888,0.034383112,25.45965867,60.02229555,1500.05,1264.5405,6.768,392.392,399.989,19.5713,18.8453,500.005,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
AK,1,A,high,2,1,kok,pigl,0.000565446,5.005395606,392.9239932,169.9541471,15.76794403,36.45455929,0.037278926,25.1190688,60.21401846,1200.07,1011.65673,6.768,392.924,400,19.5752,18.8248,500.003,19/07/2017,20/07/2017,20.6,7.84,large,2017-07-20_AK_1_A_1_2_high_pigl
