TreeID,USDA_Code,Common Name,Genus,Species,Lat,Long,DBH_1,DBH_2
9,CAGL8,Pignut Hickory,Carya,glabra,41.40208,-74.02273,33.5,NA
10,QUMO4,Chestnut Oak,Quercus,montana,41.40414,-74.01299,51,NA
11,ACSA3,Sugar Maple,Acer,saccharum,41.40445,-74.01294,24.6,NA
12,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40439,-74.0128,41,NA
13,ACSA3,Sugar Maple,Acer,saccharum,41.40446,-74.01281,31.7,NA
26,QURU,Red Oak,Quercus,rubra,41.40885,-74.01285,35,NA
27,QUMO4,Chestnut Oak,Quercus,montana,41.40891,-74.01261,28,NA
28,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40953,-74.01194,32.2,NA
29,ACRU,Red Maple,Acer,rubrum,41.40946,-74.01216,36.3,NA
30,QURU,Red Oak,Quercus,rubra,41.4092,-74.01222,30.2,NA
31,ACRU,Red Maple,Acer,rubrum,41.40944,-74.01215,27.4,NA
55,QURU,Red Oak,Quercus,rubrum,41.40947,-74.01199,51.2,NA
56,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40922,-74.01237,31.2,NA
57,QUMO4,Chestnut Oak,Quercus,montana,41.40934,-74.01208,30.9,NA
58,QUMO4,Chestnut Oak,Quercus,montana,41.40988,-74.01115,43.4,NA
59,QUMO4,Chestnut Oak,Quercus,montana,41.40993,-74.011,26.4,NA
82,ACRU,Red Maple,Acer,rubrum,41.40722,-74.01341,46,NA
83,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40686,-74.01334,22.5,NA
84,ACRU,Red Maple,Acer,rubrum,41.40704,-74.01343,31.5,NA
85,QUAL,White Oak,Quercus,alba,41.40754,-74.01359,45.5,NA
86,QURU,Red Oak,Quercus,rubra,41.40801,-74.01347,62,NA
87,QUAL,White Oak,Quercus,alba,41.40766,-74.01353,57,NA
103,QUAL,White Oak,Quercus,alba,41.40986,-74.0116,27.6,NA
104,QUAL,White Oak,Quercus,alba,41.40969,-74.01144,23.4,NA
105,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40966,-74.01143,23.1,NA
106,BEAL2,Yellow Birch,Betula,alleghaniensis,41.40987,-74.01118,19.3,NA
107,QURU,Red Oak,Quercus,rubra,41.41024,-74.01092,41.5,NA
108,QURU,Red Oak,Quercus,rubra,41.40987,-74.01144,39.3,NA
112,QUAL,White Oak,Quercus,alba,41.41136,-74.00787,76,NA
113,ACRU,Red Maple,Acer,rubrum,41.41128,-74.00813,28.8,NA
114,BEAL2,Yellow Birch,Betula,alleghaniensis,41.4113,-74.00808,43.5,NA
115,ACRU,Red Maple,Acer,rubrum,41.4113,-74.00849,12,NA
116,QURU,Red Oak,Quercus,rubra,41.41112,-74.00788,46.5,NA
