Experiment,Genotype,Treatment,Replicate,O2 (%),Iinc (mmol/m2/s),Ca (ppm),Ci (ppm),A (mmol/m2/s),F2 (mol/mol),Tleaf (℃),VPDL (kPa),gs (mol/m2/s),Tr (mol/m2/s)
EXP2019,Thésée,Well-water,4,21,200.1,385.0720,331.4224,10.3058,0.6243,15.0,1.0,0.3663,0.0034
EXP2019,Thésée,Well-water,4,21,150.0,387.9660,343.6950,8.0164,0.6422,15.0,1.0,0.3541,0.0033
EXP2019,Thésée,Well-water,4,21,120.1,389.9440,350.8760,6.5965,0.6556,15.0,1.0,0.3370,0.0031
EXP2019,Thésée,Well-water,4,21,90.0,392.1520,359.0502,5.0120,0.6680,15.0,1.0,0.3120,0.0029
EXP2019,Thésée,Well-water,4,21,60.0,394.6470,369.3301,3.1832,0.6815,15.0,1.0,0.2778,0.0026
EXP2019,Thésée,Well-water,4,21,40.1,396.4000,375.6915,2.0409,0.6924,15.0,1.0,0.2336,0.0022
EXP2019,Thésée,Well-water,4,21,999.9,368.3030,250.5476,23.2056,0.3964,15.0,1.0,0.3496,0.0032
EXP2019,Thésée,Well-water,4,21,1000.0,183.5270,123.1237,12.2400,0.3407,15.0,1.0,0.3595,0.0033
EXP2019,Thésée,Well-water,4,21,1000.1,92.6023,65.5367,5.5907,0.2932,15.0,1.0,0.3694,0.0034
EXP2019,Thésée,Well-water,4,21,999.9,47.6563,38.2914,1.9053,0.2608,15.0,1.0,0.3744,0.0034
EXP2019,Thésée,Well-water,4,21,1000.0,368.5720,259.5386,22.8387,0.3852,15.0,1.0,0.3748,0.0034
EXP2019,Thésée,Well-water,4,21,1000.0,367.6330,254.3206,23.6497,0.3936,15.0,1.0,0.3723,0.0034
EXP2019,Thésée,Well-water,4,21,1000.1,367.5080,254.0297,23.7570,0.3971,15.0,1.0,0.3735,0.0034
EXP2019,Thésée,Well-water,4,21,1000.1,609.8180,470.1439,28.7081,0.3948,15.0,1.0,0.3737,0.0034
EXP2019,Thésée,Well-water,4,21,1000.1,956.7140,806.0906,29.6788,0.3778,15.0,1.0,0.3702,0.0034
EXP2019,Thésée,Well-water,4,21,1000.1,1454.7900,1296.6995,29.1316,0.3678,15.0,1.0,0.3637,0.0033
EXP2019,Thésée,Well-water,4,2,200.1,978.8800,897.1926,13.2174,0.5951,15.0,1.0,0.3349,0.0031
EXP2019,Thésée,Well-water,4,2,150.0,983.4050,908.1218,10.0041,0.5993,15.0,1.0,0.2790,0.0026
EXP2019,Thésée,Well-water,4,2,120.1,986.8400,910.0882,8.0263,0.6281,15.0,1.0,0.2160,0.0021
EXP2019,Thésée,Well-water,4,2,90.1,989.8700,921.4028,5.9347,0.6383,15.0,1.0,0.1843,0.0018
EXP2019,Thésée,Well-water,4,2,60.1,993.3130,941.9957,3.5157,0.6489,15.0,1.0,0.1609,0.0016
