Experiment,Genotype,Treatment,Replicate,O2 (%),Iinc (mmol/m2/s),Ca (ppm),Ci (ppm),A (mmol/m2/s),F2 (mol/mol),Tleaf (℃),VPDL (kPa),gs (mol/m2/s),Tr (mol/m2/s)
EXP2020,Thésée,HT-Well water,3,21,40.0,396.7919,379.5005,1.2384,0.7057,25.0,1.5,0.2565,0.0037
EXP2020,Thésée,HT-Well water,3,21,1000.0,368.2303,253.1876,23.5157,0.4506,25.0,1.5,0.3682,0.0051
EXP2020,Thésée,HT-Well water,3,21,1000.0,184.6129,129.6588,11.4678,0.3860,25.0,1.5,0.3779,0.0052
EXP2020,Thésée,HT-Well water,3,21,1000.0,94.1092,72.5704,4.4435,0.3323,25.0,1.5,0.3837,0.0053
EXP2020,Thésée,HT-Well water,3,21,1000.0,49.3167,45.7946,0.5553,0.2994,25.0,1.5,0.3913,0.0054
EXP2020,Thésée,HT-Well water,3,21,1000.0,367.5592,258.0543,23.8897,0.4397,25.0,1.5,0.3961,0.0055
EXP2020,Thésée,HT-Well water,3,21,1000.0,367.0852,257.4959,24.2537,0.4480,25.0,1.5,0.4021,0.0056
EXP2020,Thésée,HT-Well water,3,21,1000.0,366.8896,258.0434,24.3687,0.4505,25.0,1.5,0.4074,0.0057
EXP2020,Thésée,HT-Well water,3,21,1000.0,604.4349,455.6367,32.8191,0.4621,25.0,1.5,0.4086,0.0057
EXP2020,Thésée,HT-Well water,3,21,1000.0,949.7767,786.1560,34.4745,0.4432,25.0,1.5,0.4084,0.0057
EXP2020,Thésée,HT-Well water,3,21,1000.0,1447.2416,1272.0537,33.6010,0.4287,25.0,1.5,0.3981,0.0056
EXP2020,Thésée,HT-Well water,3,2,200.0,978.8346,856.6686,13.6058,0.6353,25.0,1.5,0.2242,0.0032
EXP2020,Thésée,HT-Well water,3,2,150.0,983.7043,878.7903,10.0289,0.6453,25.0,1.5,0.1998,0.0029
EXP2020,Thésée,HT-Well water,3,2,120.0,986.7595,880.6020,8.1536,0.6538,25.0,1.5,0.1592,0.0023
EXP2020,Thésée,HT-Well water,3,2,90.0,990.7829,890.7693,5.6098,0.6623,25.0,1.5,0.1171,0.0017
EXP2020,Thésée,HT-Well water,3,2,60.0,994.1596,900.4563,3.4310,0.6710,25.0,1.5,0.0781,0.0012
EXP2020,Thésée,HT-Well water,3,2,40.0,996.4986452,919.0553097,1.8752,0.6789,25.0,1.5,0.0554,0.0008
EXP2020,Thésée,HT-Well water,4,21,2000.0,366.4547,245.0444,28.7105,0.2807,25.0,1.5,0.4265,0.0060
EXP2020,Thésée,HT-Well water,4,21,1500.0,367.8949,255.4623,27.2962,0.3470,25.0,1.5,0.4418,0.0062
EXP2020,Thésée,HT-Well water,4,21,1000.0,370.6123,271.0742,24.6814,0.4371,25.0,1.5,0.4575,0.0064
EXP2020,Thésée,HT-Well water,4,21,500.0,377.3478,301.2360,18.4449,0.5544,25.0,1.5,0.4622,0.0065
EXP2020,Thésée,HT-Well water,4,21,200.0,387.9158,346.9127,8.7175,0.6187,25.0,1.5,0.4606,0.0064
EXP2020,Thésée,HT-Well water,4,21,150.0,390.3563,356.9026,6.5342,0.6356,25.0,1.5,0.4528,0.0063
EXP2020,Thésée,HT-Well water,4,21,120.0,392.0405,363.9363,4.9934,0.6482,25.0,1.5,0.4446,0.0062
EXP2020,Thésée,HT-Well water,4,21,90.0,393.7945,371.0763,3.4545,0.6591,25.0,1.5,0.4312,0.0061
EXP2020,Thésée,HT-Well water,4,21,60.0,395.7278,378.6441,1.8343,0.6695,25.0,1.5,0.3976,0.0056
EXP2020,Thésée,HT-Well water,4,21,40.0,397.3151,384.8615,0.6396,0.6785,25.0,1.5,0.3486,0.0050
EXP2020,Thésée,HT-Well water,4,21,1000.0,371.4918,263.3051,24.1560,0.4397,25.0,1.5,0.4060,0.0057
EXP2020,Thésée,HT-Well water,4,21,1000.0,185.7729,133.3595,12.1566,0.3864,25.0,1.5,0.4238,0.0059
EXP2020,Thésée,HT-Well water,4,21,1000.0,94.5464,74.4928,4.6689,0.3412,25.0,1.5,0.4395,0.0061
EXP2020,Thésée,HT-Well water,4,21,1000.0,49.2950,45.8956,0.6029,0.3107,25.0,1.5,0.4516,0.0063
EXP2020,Thésée,HT-Well water,4,21,1000.0,370.9430,273.2957,24.3760,0.4328,25.0,1.5,0.4614,0.0064
EXP2020,Thésée,HT-Well water,4,21,1000.0,370.3429,271.6667,24.9105,0.4385,25.0,1.5,0.4662,0.0065
EXP2020,Thésée,HT-Well water,4,21,1000.0,370.3113,273.3150,24.9162,0.4401,25.0,1.5,0.4760,0.0066
EXP2020,Thésée,HT-Well water,4,21,1000.0,609.8269,479.1898,32.8618,0.4558,25.0,1.5,0.4764,0.0066
EXP2020,Thésée,HT-Well water,4,21,1000.0,955.6991,812.5395,34.2201,0.4384,25.0,1.5,0.4779,0.0066
EXP2020,Thésée,HT-Well water,4,21,1000.0,1453.1881,1293.6281,33.4762,0.4254,25.0,1.5,0.4492,0.0063
EXP2020,Thésée,HT-Well water,4,2,200.0,981.9891,886.4095,12.3836,0.6062,25.0,1.5,0.2823,0.0041
EXP2020,Thésée,HT-Well water,4,2,150.0,986.7462,896.0366,8.9836,0.6167,25.0,1.5,0.2168,0.0031
EXP2020,Thésée,HT-Well water,4,2,120.0,989.1893,901.0741,7.1486,0.6241,25.0,1.5,0.1798,0.0027
EXP2020,Thésée,HT-Well water,4,2,90.0,992.0487,913.5990,4.9930,0.6316,25.0,1.5,0.1470,0.0022
EXP2020,Thésée,HT-Well water,4,2,60.0,994.8268,937.7339,2.7371,0.6400,25.0,1.5,0.1314,0.0019
EXP2020,Thésée,HT-Well water,4,2,40.0,996.6031,952.1349,1.4136,0.6481,25.0,1.5,0.1098,0.0016
EXP2020,Thésée,HT-Well water,5,21,2000.1,369.2800,265.5160,25.2028,0.2452,25.0,1.5,0.4459,0.0063
EXP2020,Thésée,HT-Well water,5,21,1499.9,370.6950,274.0139,23.7776,0.3067,25.0,1.5,0.4554,0.0064
EXP2020,Thésée,HT-Well water,5,21,1000.1,373.1540,284.2143,21.6394,0.3964,25.0,1.5,0.4549,0.0064
EXP2020,Thésée,HT-Well water,5,21,500.0,378.5060,305.7884,16.8547,0.5411,25.0,1.5,0.4447,0.0063
EXP2020,Thésée,HT-Well water,5,21,200.0,387.7480,342.5315,8.7354,0.6349,25.0,1.5,0.4066,0.0058
EXP2020,Thésée,HT-Well water,5,21,150.0,390.5480,348.0357,6.6687,0.6536,25.0,1.5,0.3327,0.0048
EXP2020,Thésée,HT-Well water,5,21,120.0,392.5080,349.3387,5.3181,0.6655,25.0,1.5,0.2582,0.0038
EXP2020,Thésée,HT-Well water,5,21,89.8,394.6260,352.7745,3.8288,0.6761,25.0,1.5,0.1920,0.0028
EXP2020,Thésée,HT-Well water,5,21,60.1,396.7850,356.6430,2.2780,0.6880,25.0,1.5,0.1197,0.0018
EXP2020,Thésée,HT-Well water,5,21,40.0,398.2840,364.9856,1.1919,0.6969,25.0,1.5,0.0803,0.0012
EXP2020,Thésée,HT-Well water,5,21,1000.0,373.4550,282.7941,20.9400,0.3926,25.1,1.5,0.4301,0.0061
EXP2020,Thésée,HT-Well water,5,21,1000.1,186.6610,141.6384,10.6643,0.3317,25.0,1.5,0.4417,0.0062
EXP2020,Thésée,HT-Well water,5,21,1000.1,94.7933,77.1965,4.1347,0.2848,25.0,1.5,0.4533,0.0063
EXP2020,Thésée,HT-Well water,5,21,999.9,49.2438,45.8696,0.6017,0.2554,25.0,1.5,0.4583,0.0064
EXP2020,Thésée,HT-Well water,5,21,1000.2,373.3350,289.1805,20.8549,0.3824,25.0,1.5,0.4670,0.0065
EXP2020,Thésée,HT-Well water,5,21,999.9,372.7640,288.4501,21.2770,0.3921,25.0,1.5,0.4763,0.0067
EXP2020,Thésée,HT-Well water,5,21,999.9,372.6510,288.7545,21.3113,0.3946,25.0,1.5,0.4799,0.0067
EXP2020,Thésée,HT-Well water,5,21,1000.0,612.5080,497.2765,28.4526,0.4212,25.0,1.5,0.4775,0.0067
EXP2020,Thésée,HT-Well water,5,21,1000.0,958.1180,823.2108,30.1041,0.4132,25.0,1.5,0.4527,0.0064
EXP2020,Thésée,HT-Well water,5,21,1000.0,1456.7300,1288.6401,29.6609,0.4011,25.0,1.5,0.3703,0.0053
EXP2020,Thésée,HT-Well water,5,2,200.1,980.6740,871.0382,12.9538,0.6544,25.0,1.5,0.2464,0.0036
EXP2020,Thésée,HT-Well water,5,2,150.0,984.9970,886.4231,9.8074,0.6683,25.0,1.5,0.2134,0.0031
EXP2020,Thésée,HT-Well water,5,2,119.9,987.7680,898.4323,7.6911,0.6773,25.0,1.5,0.1904,0.0028
EXP2020,Thésée,HT-Well water,5,2,90.0,990.5640,898.1920,5.8886,0.6859,25.0,1.5,0.1379,0.0020
EXP2020,Thésée,HT-Well water,5,2,60.0,993.5500,933.8204,3.3404,0.6939,25.0,1.5,0.1494,0.0022
EXP2020,Thésée,HT-Well water,5,2,40.0,995.8860,947.8229,1.8073,0.7004,25.0,1.5,0.1190,0.0018
EXP2020,Thésée,HT-Well water,1,21,2000.0,372.8093,237.4099,21.0239,0.2678,30.0,2.0,0.2784,0.0053
EXP2020,Thésée,HT-Well water,1,21,1500.0,373.8069,240.6823,20.2291,0.3401,30.0,2.0,0.2727,0.0052
EXP2020,Thésée,HT-Well water,1,21,1000.0,375.6135,247.9593,18.7640,0.4462,30.0,2.0,0.2647,0.0051
EXP2020,Thésée,HT-Well water,1,21,500.0,380.3377,273.8840,14.8482,0.5796,30.0,2.0,0.2565,0.0049
EXP2020,Thésée,HT-Well water,1,21,200.0,388.5568,325.3293,7.9004,0.6489,30.0,2.0,0.2528,0.0049
EXP2020,Thésée,HT-Well water,1,21,150.0,390.7898,339.1397,6.0361,0.6642,30.0,2.0,0.2501,0.0048
EXP2020,Thésée,HT-Well water,1,21,120.0,392.2565,348.3697,4.8047,0.6736,30.0,2.0,0.2479,0.0048
EXP2020,Thésée,HT-Well water,1,21,90.0,393.8325,358.3799,3.4743,0.6822,30.0,2.0,0.2454,0.0047
EXP2020,Thésée,HT-Well water,1,21,60.0,395.5682,369.3063,2.0469,0.6897,30.0,2.0,0.2411,0.0046
EXP2020,Thésée,HT-Well water,1,21,40.0,396.8538,377.3846,1.0198,0.6953,30.0,2.0,0.2353,0.0045
EXP2020,Thésée,HT-Well water,1,21,1000.0,375.8656,244.0252,18.6060,0.4552,30.0,2.0,0.2530,0.0048
EXP2020,Thésée,HT-Well water,1,21,1000.0,189.1674,129.4195,8.4084,0.3951,30.0,2.0,0.2550,0.0049
EXP2020,Thésée,HT-Well water,1,21,1000.0,96.2868,74.7421,2.9152,0.3505,30.0,2.0,0.2570,0.0049
EXP2020,Thésée,HT-Well water,1,21,1000.0,50.0283,48.4066,0.0092,0.3217,30.0,2.0,0.2590,0.0050
EXP2020,Thésée,HT-Well water,1,21,1000.0,375.8046,247.0359,18.6248,0.4452,30.0,2.0,0.2602,0.0050
EXP2020,Thésée,HT-Well water,1,21,1000.0,375.6070,246.0773,18.7913,0.4503,30.0,2.0,0.2608,0.0050
EXP2020,Thésée,HT-Well water,1,21,1000.0,375.5770,246.4207,18.8134,0.4532,30.0,2.0,0.2620,0.0050
EXP2020,Thésée,HT-Well water,1,21,1000.0,612.5163,415.4552,28.5052,0.4903,30.0,2.0,0.2620,0.0050
EXP2020,Thésée,HT-Well water,1,21,1000.0,952.5568,704.7321,35.0108,0.4995,30.0,2.0,0.2626,0.0050
EXP2020,Thésée,HT-Well water,1,21,1000.0,1447.5410,1174.4889,36.6134,0.4847,30.0,2.0,0.2629,0.0050
EXP2020,Thésée,HT-Well water,1,2,200.0,977.1320,904.2974,11.6453,0.6373,30.0,2.0,0.2631,0.0050
EXP2020,Thésée,HT-Well water,1,2,150.0,982.4745,916.1973,8.2472,0.6456,30.0,2.0,0.2600,0.0050
EXP2020,Thésée,HT-Well water,1,2,120.0,985.5325,923.7392,6.2620,0.6521,30.0,2.0,0.2576,0.0050
EXP2020,Thésée,HT-Well water,1,2,90.0,987.8753,931.7915,4.2446,0.6595,30.0,2.0,0.2532,0.0049
EXP2020,Thésée,HT-Well water,1,2,60.0,991.2761,946.3909,1.9916,0.6670,30.0,2.0,0.2458,0.0047
EXP2020,Thésée,HT-Well water,1,2,40.0,993.0653,956.2425,0.6483,0.7331,30.0,2.0,0.2363,0.0046
EXP2020,Thésée,HT-Well water,2,21,2000.0,363.2609,239.8427,26.6398,0.2992,30.0,2.0,0.3963,0.0074
EXP2020,Thésée,HT-Well water,2,21,1500.0,364.5265,244.3551,25.6470,0.3713,30.0,2.0,0.3928,0.0073
EXP2020,Thésée,HT-Well water,2,21,1000.0,367.4035,255.6305,23.3634,0.4677,30.0,2.0,0.3880,0.0073
EXP2020,Thésée,HT-Well water,2,21,500.0,375.0362,286.9030,17.3328,0.5756,30.0,2.0,0.3772,0.0071
EXP2020,Thésée,HT-Well water,2,21,200.0,386.4802,336.7794,8.2380,0.6376,30.0,2.0,0.3634,0.0068
EXP2020,Thésée,HT-Well water,2,21,150.0,389.1665,348.1803,6.1504,0.6545,30.0,2.0,0.3542,0.0067
EXP2020,Thésée,HT-Well water,2,21,120.0,390.9892,355.7948,4.7643,0.6658,30.0,2.0,0.3439,0.0065
EXP2020,Thésée,HT-Well water,2,21,90.0,392.9362,363.8801,3.3272,0.6762,30.0,2.0,0.3285,0.0062
EXP2020,Thésée,HT-Well water,2,21,60.0,395.0166,373.4953,1.7502,0.6870,30.0,2.0,0.3153,0.0060
EXP2020,Thésée,HT-Well water,2,21,40.0,396.4429,380.3757,0.6680,0.6961,30.0,2.0,0.3049,0.0058
EXP2020,Thésée,HT-Well water,2,21,1000.0,366.6316,257.9926,23.8577,0.4754,30.0,2.0,0.4099,0.0076
EXP2020,Thésée,HT-Well water,2,21,1000.0,184.4498,135.0270,11.1176,0.4110,30.0,2.0,0.4260,0.0079
EXP2020,Thésée,HT-Well water,2,21,1000.0,94.5153,76.9045,3.8523,0.3573,30.0,2.0,0.4404,0.0081
EXP2020,Thésée,HT-Well water,2,21,1000.0,50.0222,49.0511,-0.1561,0.3214,30.0,2.0,0.4489,0.0083
EXP2020,Thésée,HT-Well water,2,21,1000.0,365.5288,263.8069,24.4371,0.4692,30.0,2.0,0.4548,0.0084
EXP2020,Thésée,HT-Well water,2,21,1000.0,365.2780,263.2802,24.6641,0.4748,30.0,2.0,0.4575,0.0084
EXP2020,Thésée,HT-Well water,2,21,1000.0,365.2147,263.4234,24.6892,0.4780,30.0,2.0,0.4593,0.0085
EXP2020,Thésée,HT-Well water,2,21,1000.0,599.6594,453.3230,34.9309,0.5011,30.0,2.0,0.4604,0.0085
EXP2020,Thésée,HT-Well water,2,21,1000.0,941.3912,771.2805,38.5241,0.4948,30.0,2.0,0.4603,0.0085
EXP2020,Thésée,HT-Well water,2,21,1000.0,1435.7755,1248.8986,38.6041,0.4823,30.0,2.0,0.4567,0.0085
EXP2020,Thésée,HT-Well water,2,2,200.0,975.9959,879.8743,12.9210,0.6367,30.0,2.0,0.3265,0.0062
EXP2020,Thésée,HT-Well water,2,2,150.0,981.2089,895.4168,9.5120,0.6420,30.0,2.0,0.2833,0.0054
EXP2020,Thésée,HT-Well water,2,2,120.0,985.3688,910.8775,6.8193,0.6487,30.0,2.0,0.2541,0.0048
EXP2020,Thésée,HT-Well water,2,2,90.0,988.5796,921.3945,4.8095,0.6558,30.0,2.0,0.2172,0.0042
EXP2020,Thésée,HT-Well water,2,2,60.0,992.1705,939.3137,2.4925,0.6631,30.0,2.0,0.1871,0.0036
EXP2020,Thésée,HT-Well water,2,2,40.0,994.8411,952.6574519,1.0175,0.6702,30.0,2.0,0.1532,0.0030
EXP2020,Thésée,HT-Well water,3,21,2000.0,367.3850,273.1835,25.6908,0.2771,30.0,2.0,0.5259,0.0098
EXP2020,Thésée,HT-Well water,3,21,1500.1,368.7580,279.7778,24.5129,0.3443,30.0,2.0,0.5358,0.0098
EXP2020,Thésée,HT-Well water,3,21,1000.0,371.2550,290.6700,22.1389,0.4432,30.0,2.0,0.5440,0.0100
EXP2020,Thésée,HT-Well water,3,21,500.0,377.2460,314.4510,16.6731,0.5754,30.0,2.0,0.5548,0.0102
EXP2020,Thésée,HT-Well water,3,21,200.1,386.8630,350.7142,7.9264,0.6455,30.0,2.0,0.5589,0.0102
EXP2020,Thésée,HT-Well water,3,21,150.2,389.2600,359.7112,5.7101,0.6607,30.0,2.0,0.5580,0.0103
EXP2020,Thésée,HT-Well water,3,21,120.0,390.7810,365.1880,4.4231,0.6699,30.0,2.0,0.5591,0.0102
EXP2020,Thésée,HT-Well water,3,21,90.0,392.3640,371.0527,2.9456,0.6783,30.0,2.0,0.5578,0.0103
EXP2020,Thésée,HT-Well water,3,21,60.0,394.1160,377.6285,1.3689,0.6861,30.0,2.0,0.5575,0.0103
EXP2020,Thésée,HT-Well water,3,21,40.2,395.3570,382.1618,0.2746,0.6913,30.0,2.0,0.5502,0.0101
EXP2020,Thésée,HT-Well water,3,21,999.9,371.1040,292.8281,22.1243,0.4388,30.0,2.0,0.5634,0.0103
EXP2020,Thésée,HT-Well water,3,21,999.8,186.3200,148.8294,10.5574,0.3822,30.0,2.0,0.5661,0.0103
EXP2020,Thésée,HT-Well water,3,21,1000.0,95.2056,81.4952,3.5668,0.3388,30.0,2.0,0.5642,0.0103
EXP2020,Thésée,HT-Well water,3,21,1000.0,49.9751,49.1428,-0.2393,0.3094,30.0,2.0,0.5690,0.0104
EXP2020,Thésée,HT-Well water,3,21,999.9,371.0450,293.6774,22.0925,0.4353,30.0,2.0,0.5714,0.0104
EXP2020,Thésée,HT-Well water,3,21,999.9,370.8990,292.5557,22.3491,0.4394,30.0,2.0,0.5687,0.0103
EXP2020,Thésée,HT-Well water,3,21,1000.0,370.8260,292.9559,22.2744,0.4409,30.0,2.0,0.5717,0.0105
EXP2020,Thésée,HT-Well water,3,21,1000.0,607.8890,496.7127,31.1820,0.4704,30.0,2.0,0.5757,0.0105
EXP2020,Thésée,HT-Well water,3,21,1000.1,950.4150,820.0996,34.2788,0.4634,30.0,2.0,0.5790,0.0105
EXP2020,Thésée,HT-Well water,3,21,1000.0,1445.2800,1301.8830,33.4492,0.4448,30.0,2.0,0.5782,0.0105
EXP2020,Thésée,HT-Well water,3,2,200.0,976.0030,912.9834,11.0184,0.6205,30.0,2.0,0.5742,0.0105
EXP2020,Thésée,HT-Well water,3,2,150.0,979.9080,925.8697,7.7729,0.6292,30.0,2.0,0.5631,0.0103
EXP2020,Thésée,HT-Well water,3,2,120.0,982.1030,933.0260,5.9285,0.6366,30.0,2.0,0.5481,0.0101
EXP2020,Thésée,HT-Well water,3,2,90.0,984.7290,940.7802,4.0497,0.6448,30.0,2.0,0.5233,0.0097
EXP2020,Thésée,HT-Well water,3,2,60.0,987.5360,950.3085,1.8368,0.6522,30.0,2.0,0.5002,0.0093
EXP2020,Thésée,HT-Well water,3,2,40.0,989.6800,956.9742,0.4401,0.6588,30.0,2.0,0.4649,0.0087
EXP2020,Thésée,HT-Well water,4,21,2000.0,362.5720,263.7338,30.4561,0.3274,30.0,2.0,0.5941,0.0109
EXP2020,Thésée,HT-Well water,4,21,1499.9,364.5640,271.6562,28.5518,0.3974,30.0,2.0,0.5985,0.0110
EXP2020,Thésée,HT-Well water,4,21,1000.2,368.1370,285.2806,25.2333,0.4908,30.1,2.0,0.6051,0.0112
EXP2020,Thésée,HT-Well water,4,21,500.0,375.8150,313.0070,18.0883,0.6034,30.0,2.0,0.6060,0.0111
EXP2020,Thésée,HT-Well water,4,21,200.0,386.9230,352.6152,7.8284,0.6618,30.0,2.0,0.6029,0.0111
EXP2020,Thésée,HT-Well water,4,21,150.0,389.5300,361.6276,5.5182,0.6772,30.0,2.0,0.5989,0.0110
EXP2020,Thésée,HT-Well water,4,21,120.1,391.1830,367.5518,3.9305,0.6883,30.0,2.0,0.5931,0.0110
EXP2020,Thésée,HT-Well water,4,21,90.0,393.1690,374.1921,2.2460,0.6990,30.0,2.0,0.5771,0.0106
EXP2020,Thésée,HT-Well water,4,21,60.1,395.0400,380.7735,0.5937,0.7091,30.0,2.0,0.5561,0.0103
EXP2020,Thésée,HT-Well water,4,21,40.0,396.6390,386.2254,-0.6495,0.7178,30.0,2.0,0.5211,0.0097
EXP2020,Thésée,HT-Well water,4,21,1000.0,370.4970,271.4130,23.9731,0.4858,30.0,2.0,0.4596,0.0086
EXP2020,Thésée,HT-Well water,4,21,1000.1,186.2960,140.9688,11.1382,0.4275,30.0,2.0,0.4738,0.0088
EXP2020,Thésée,HT-Well water,4,21,999.9,95.2383,79.1183,3.7747,0.3775,30.0,2.0,0.4828,0.0090
EXP2020,Thésée,HT-Well water,4,21,999.8,50.1399,49.5265,-0.2794,0.3442,30.0,2.0,0.4951,0.0092
EXP2020,Thésée,HT-Well water,4,21,999.9,369.8080,277.3863,24.2674,0.4835,30.0,2.0,0.5066,0.0094
EXP2020,Thésée,HT-Well water,4,21,1000.2,369.6020,277.3763,24.4950,0.4862,30.0,2.0,0.5126,0.0095
EXP2020,Thésée,HT-Well water,4,21,999.8,369.4430,277.7136,24.5696,0.4873,30.0,2.0,0.5176,0.0096
EXP2020,Thésée,HT-Well water,4,21,999.8,605.3260,473.5722,35.0628,0.5179,30.0,2.0,0.5258,0.0097
EXP2020,Thésée,HT-Well water,4,21,999.8,947.3590,792.7945,38.8570,0.5134,30.0,2.0,0.5262,0.0097
EXP2020,Thésée,HT-Well water,4,21,1000.1,1442.5100,1271.9398,38.4709,0.4966,30.0,2.0,0.5189,0.0096
EXP2020,Thésée,HT-Well water,4,2,200.0,978.7443,894.3860,12.2560,0.6544,30.0,2.0,0.3806,0.0072
EXP2020,Thésée,HT-Well water,4,2,150.0,983.9222,906.3821,8.7157,0.6616,30.0,2.0,0.3111,0.0061
EXP2020,Thésée,HT-Well water,4,2,120.0,987.3525,913.1124,6.5917,0.6673,30.0,2.0,0.2510,0.0049
EXP2020,Thésée,HT-Well water,4,2,90.0,990.8359,923.5220,4.4391,0.6740,30.0,2.0,0.2014,0.0040
EXP2020,Thésée,HT-Well water,4,2,60.0,993.9692,941.6774,2.1616,0.6810,30.0,2.0,0.1679,0.0033
EXP2020,Thésée,HT-Well water,4,2,40.0,996.0627,955.0452,0.7936,0.6877,30.0,2.0,0.1381,0.0027
EXP2020,Thésée,HT-Well water,5,21,2000.0,365.6382,271.2807,27.4776,0.2901,30.0,2.0,0.5544,0.0089
EXP2020,Thésée,HT-Well water,5,21,1500.0,367.1965,274.9228,26.1110,0.3612,30.0,2.0,0.5400,0.0087
EXP2020,Thésée,HT-Well water,5,21,1000.0,369.5088,285.5798,23.5475,0.4633,29.9,2.0,0.5523,0.0101
EXP2020,Thésée,HT-Well water,5,21,500.0,375.9651,306.6599,17.8899,0.6071,30.0,2.0,0.5263,0.0097
EXP2020,Thésée,HT-Well water,5,21,200.0,386.4549,345.5631,8.6016,0.6856,30.0,2.0,0.5043,0.0094
EXP2020,Thésée,HT-Well water,5,21,150.0,389.0667,353.8428,6.4354,0.7007,30.0,2.0,0.4716,0.0089
EXP2020,Thésée,HT-Well water,5,21,120.0,391.1187,358.6225,4.9650,0.7102,30.0,2.0,0.4124,0.0079
EXP2020,Thésée,HT-Well water,5,21,90.0,393.4086,363.0282,3.5269,0.7190,30.0,2.0,0.3258,0.0063
EXP2020,Thésée,HT-Well water,5,21,60.0,395.9011,371.3890,1.8305,0.7273,30.0,2.0,0.2518,0.0049
EXP2020,Thésée,HT-Well water,5,21,40.0,397.7267,379.5695,0.6692,0.7343,30.0,2.0,0.1949,0.0038
EXP2020,Thésée,HT-Well water,5,21,1000.0,371.4324,273.8712,22.5298,0.4628,30.0,2.0,0.4387,0.0082
EXP2020,Thésée,HT-Well water,5,21,1000.0,186.5692,141.2908,10.6045,0.3893,30.0,2.0,0.4507,0.0084
EXP2020,Thésée,HT-Well water,5,21,1000.0,95.1870,78.7113,3.7169,0.3344,30.0,2.0,0.4622,0.0086
EXP2020,Thésée,HT-Well water,5,21,1000.0,49.8939,48.5582,-0.0639,0.3023,30.0,2.0,0.4672,0.0087
EXP2020,Thésée,HT-Well water,5,21,1000.0,371.0366,278.9884,22.6517,0.4537,30.0,2.0,0.4736,0.0088
EXP2020,Thésée,HT-Well water,5,21,1000.0,370.6905,277.4010,22.9543,0.4610,30.0,2.0,0.4726,0.0088
EXP2020,Thésée,HT-Well water,5,21,1000.0,370.7044,277.4531,22.9344,0.4644,30.0,2.0,0.4723,0.0088
EXP2020,Thésée,HT-Well water,5,21,1000.0,607.1367,471.7743,32.8173,0.4925,30.0,2.0,0.4743,0.0089
EXP2020,Thésée,HT-Well water,5,21,1000.0,950.4649,793.0789,35.6536,0.4823,30.0,2.0,0.4697,0.0088
EXP2020,Thésée,HT-Well water,5,21,1000.0,1446.3452,1271.6300,35.0989,0.4690,30.0,2.0,0.4560,0.0086
EXP2020,Thésée,HT-Well water,5,2,200.0,982.0007,784.6961,13.3888,0.6753,30.0,2.0,0.1297,0.0026
EXP2020,Thésée,HT-Well water,5,2,150.0,986.6582,797.6832,9.9157,0.6850,30.0,1.9,0.0996,0.0019
EXP2020,Thésée,HT-Well water,5,2,120.0,988.8594,838.4574,7.7497,0.6923,30.0,2.0,0.1045,0.0021
EXP2020,Thésée,HT-Well water,5,2,90.0,991.4312,877.5431,5.4505,0.6988,30.0,2.0,0.1056,0.0021
EXP2020,Thésée,HT-Well water,5,2,60.0,994.2325,908.7738,3.1857,0.7051,30.0,2.0,0.0943,0.0019
EXP2020,Thésée,HT-Well water,5,2,40.0,996.4054,933.7478,1.5559,0.7098,30.0,2.0,0.0795,0.0016
EXP2020,Thésée,HT-Well water,1,21,2000.0,370.6190,255.9019,21.6956,0.2896,35.0,2.5,0.3576,0.0086
EXP2020,Thésée,HT-Well water,1,21,1500.2,372.0320,264.0172,20.4197,0.3620,35.0,2.5,0.3616,0.0087
EXP2020,Thésée,HT-Well water,1,21,999.8,374.5610,276.2302,18.3014,0.4688,35.0,2.5,0.3619,0.0087
EXP2020,Thésée,HT-Well water,1,21,499.9,380.7210,305.9134,13.0557,0.5914,35.0,2.5,0.3610,0.0087
EXP2020,Thésée,HT-Well water,1,21,199.8,389.6730,349.2816,5.4357,0.6525,35.0,2.5,0.3598,0.0087
EXP2020,Thésée,HT-Well water,1,21,150.1,391.7710,359.6934,3.6455,0.6619,35.0,2.5,0.3627,0.0087
EXP2020,Thésée,HT-Well water,1,21,119.9,393.1880,366.2378,2.4803,0.6680,35.0,2.5,0.3609,0.0087
EXP2020,Thésée,HT-Well water,1,21,89.9,394.7890,374.4125,1.0552,0.6734,35.0,2.5,0.3641,0.0087
EXP2020,Thésée,HT-Well water,1,21,60.2,396.2780,381.4480,-0.2039,0.6783,35.0,2.5,0.3639,0.0088
EXP2020,Thésée,HT-Well water,1,21,40.0,397.3930,386.8397,-1.1324,0.6799,35.0,2.5,0.3650,0.0087
EXP2020,Thésée,HT-Well water,1,21,1000.1,374.0320,281.9577,18.4946,0.4582,35.0,2.5,0.3966,0.0094
EXP2020,Thésée,HT-Well water,1,21,999.9,188.8220,148.5058,7.8369,0.3986,35.0,2.5,0.3955,0.0094
EXP2020,Thésée,HT-Well water,1,21,1000.0,96.8315,84.6213,2.0125,0.3502,35.0,2.5,0.3979,0.0095
EXP2020,Thésée,HT-Well water,1,21,1000.1,51.0298,53.3687,-1.0454,0.3107,35.0,2.5,0.3987,0.0095
EXP2020,Thésée,HT-Well water,1,21,999.8,374.1110,282.9930,18.3751,0.4513,35.0,2.5,0.3995,0.0095
EXP2020,Thésée,HT-Well water,1,21,999.9,373.7880,281.8080,18.6284,0.4557,35.0,2.5,0.4003,0.0095
